Well,Sample,Intensity,Concentration
A1,std,42790,10
A2,std,41218,10
A3,315-1-17 ,512,
A4,315-1-5 ,28589,
A5,315-2-24 ,7911,
A6,315-2-6 ,594,
A7,315-3-22 ,128,
A8,315-4-28 ,18768,
A9,315-5-18 ,24656,
A10,304,35424,
A11,314,34764,
A12,,20,
B1,std,22300,5
B2,std,21261,5
B3,315-1-18 ,353,
B4,315-1-6 ,297,
B5,315-2-27 ,241,
B6,315-2-7 ,195,
B7,315-3-33 ,227,
B8,315-4-36 ,7024,
B9,315-5-3 ,25424,
B10,305,29734,
B11,315,27238,
B12,,19,
C1,std,8393,2.5
C2,std,7658,2.5
C3,315-1-22 ,316,
C4,315-1-8 ,109,
C5,315-2-31 ,20265,
C6,315-2-9 ,541,
C7,315-3-40  ,213,
C8,315-4-40 ,27258,
C9,315-5-9 ,14110,
C10,306,33842,
C11,316,17441,
C12,,21,
D1,std,4766,1.25
D2,std,4297,1.25
D3,315-1-33 ,2107,
D4,315-2-11 ,288,
D5,315-2-34 ,29496,
D6,315-3-1 ,832,
D7,315-3-44 ,26494,
D8,315-4-42 ,24366,
D9,320-1-11 ,14011,
D10,307,34124,
D11,318,33454,
D12,,21,
E1,std,2560,0.625
E2,std,2244,0.625
E3,315-1-37 ,26706,
E4,315-2-14 ,604,
E5,315-2-41 ,325,
E6,315-3-13 ,239,
E7,315-3-6 ,22704,
E8,315-4-49 ,28656,
E9,320-5-24 ,3133,
E10,308,27020,
E11,319,20615,
E12,,21,
F1,std,1273,0.3125
F2,std,1321,0.3125
F3,315-1-45 ,149,
F4,315-2-19 ,36389,
F5,315-2-43 ,1953,
F6,315-3-18 ,7085,
F7,315-3-8 ,25364,
F8,315-4-5 ,286,
F9,301,33797,
F10,310,29705,
F11,320,25625,
F12,,21,
G1,std,414,0.156
G2,std,358,0.156
G3,315-1-48 ,332,
G4,315-2-21 ,294,
G5,315-2-46 ,203,
G6,315-3-19 ,248,
G7,315-4-13 ,16575,
G8,315-4-7 ,24668,
G9,302,28236,
G10,311,23084,
G11,Blank ,62,
G12,,22,
H1,std,57,0
H2,std,57,0
H3,315-1-49 ,620,
H4,315-2-22 ,6772,
H5,315-2-5  ,444,
H6,315-3-2 ,297,
H7,315-4-26 ,436,
H8,315-5-10 ,847,
H9,303,27776,
H10,313,24092,
H11,,54,
H12,,21,
